Date,AMZN,BA,DIS,IBM,KO,MSFT
2015-07-16,475.48,132.87,112.98,144.23,36.64,42.75
2015-07-17,483.01,131.4,112.79,145.51,36.44,42.71
2015-07-20,488.1,131.29,113.47,146.11,36.55,42.99
2015-07-21,488.0,129.75,113.21,137.54,36.39,43.32
2015-07-22,488.27,131.06,113.23,135.25,36.13,41.72
2015-07-23,482.18,130.74,112.73,136.41,36.08,42.24
2015-07-24,529.42,128.91,112.83,134.74,35.72,42.09
2015-07-27,531.41,126.2,112.21,134.17,35.81,41.55
2015-07-28,526.03,126.89,112.41,135.0,35.82,41.54
2015-07-29,529.0,128.98,113.72,135.87,35.86,42.41
2015-07-30,536.76,127.97,113.9,135.76,35.83,42.95
2015-07-31,536.15,129.01,113.87,136.63,36.29,42.78
2015-08-03,535.03,128.58,114.93,133.87,36.7,42.89
2015-08-04,531.9,128.44,115.47,132.93,36.97,43.55
2015-08-05,537.01,130.53,104.88,133.18,37.21,43.59
2015-08-06,529.46,129.51,103.0,132.95,37.03,42.71
2015-08-07,522.62,128.25,103.76,131.92,36.9,42.82
2015-08-10,524.0,131.35,105.33,133.31,36.82,43.36
2015-08-11,527.46,129.72,102.48,132.26,36.64,42.52
2015-08-12,525.91,128.26,101.52,132.81,36.45,42.82
2015-08-13,529.66,130.41,102.02,131.88,36.31,42.81
2015-08-14,531.52,130.66,101.68,132.46,36.44,43.06
2015-08-17,535.22,130.07,103.48,132.94,36.53,43.35
2015-08-18,535.02,130.22,101.47,132.68,36.48,43.59
2015-08-19,532.92,128.52,101.01,130.92,36.02,42.98
2015-08-20,515.78,123.39,94.91,129.83,35.82,42.11
2015-08-21,494.47,118.61,93.79,126.59,34.92,39.72
2015-08-24,463.37,114.54,90.49,122.02,33.9,38.44
2015-08-25,466.37,113.01,90.99,119.88,33.56,37.32
2015-08-26,500.77,116.47,94.16,124.76,34.21,39.39
2015-08-27,518.37,118.75,96.95,126.33,34.69,40.48
2015-08-28,518.01,119.99,97.24,125.85,34.85,40.51
2015-08-31,512.89,117.68,96.67,125.78,34.73,40.13
2015-09-01,496.54,114.76,94.42,121.34,34.23,38.57
2015-09-02,510.55,117.64,96.68,123.36,34.36,39.99
2015-09-03,504.72,117.99,96.78,124.83,34.59,40.12
2015-09-04,499.0,116.85,95.81,122.21,34.03,39.3
2015-09-08,517.54,120.51,98.69,125.21,34.36,40.48
2015-09-09,516.89,119.46,96.7,123.36,33.83,39.72
2015-09-10,522.24,120.27,97.36,124.34,33.94,39.92
2015-09-11,529.44,121.27,99.14,125.33,33.98,40.1
2015-09-14,521.38,121.06,98.51,123.87,33.95,39.69
2015-09-15,522.37,122.74,98.14,125.47,34.3,40.56
2015-09-16,527.39,123.55,98.65,126.22,34.88,40.85
2015-09-17,538.87,123.78,98.87,125.99,35.09,40.81
2015-09-18,540.26,122.55,97.58,122.9,34.73,40.1
2015-09-21,548.39,122.49,98.12,124.58,34.92,40.68
2015-09-22,538.4,120.66,97.25,122.83,34.56,40.48
2015-09-23,536.07,118.57,96.38,122.18,34.54,40.46
2015-09-24,533.75,116.84,95.48,122.82,34.88,40.49
2015-09-25,524.25,117.98,95.17,123.67,35.3,40.52
2015-09-28,504.06,115.38,93.46,121.21,35.22,39.92
2015-09-29,496.07,115.94,94.34,121.17,35.34,40.06
2015-09-30,511.89,117.92,96.98,123.29,35.75,40.82
2015-10-01,520.72,117.62,97.42,122.12,35.46,41.14
2015-10-02,532.54,119.37,97.74,122.96,35.99,42.02
2015-10-05,543.68,120.69,98.54,126.75,36.54,43.0
2015-10-06,537.48,121.24,98.47,126.53,36.5,43.11
2015-10-07,541.94,123.39,98.11,127.65,37.0,43.16
2015-10-08,533.16,125.21,99.26,129.51,37.41,43.76
